distance_km,eta_minutes,drivers,riders,demand_ratio,weather_multiplier,traffic_multiplier,hour_of_day,day_of_week,is_shared,final_price
9.974397547165267,31.338357275044007,34,41,1.0,1.1,1.0,12,1,0,239.0
12.615792713130503,16.538586246452383,32,10,1.0,1.0,1.2,13,5,1,158.0
15.000232695107323,47.029008836503365,34,23,2.0,1.3,1.2,16,2,1,379.0
5.88343245665405,10.897638386193066,34,22,1.5,1.0,1.4,10,2,0,253.0
34.15868242113541,40.88274610585004,23,20,1.2,1.0,1.2,2,6,0,803.0
15.338953297791619,27.85769113578837,29,27,1.0,1.3,1.4,6,0,1,350.0
11.893311882258985,38.76488491189802,32,47,1.0,1.0,1.4,9,4,1,283.0
13.068524450686244,18.982189774015133,7,41,1.0,1.0,1.6,10,4,0,395.0
4.664795840405673,28.152032104041744,32,13,0.8,1.0,1.2,9,5,0,138.0
5.716788260109082,43.55759073754293,6,7,1.2,1.1,1.2,7,6,0,305.0
13.396496834558485,26.009514460539698,24,12,1.8,1.5,1.6,4,4,1,310.0
12.648330129764597,21.187393785962133,20,42,1.2,1.3,1.2,22,5,0,495.0
13.207659024450859,29.126992381373125,5,8,1.0,1.1,1.2,1,6,0,318.0
13.258830563505308,37.28132388663651,19,16,1.2,1.0,1.4,14,1,1,292.0
11.43435360904868,24.960350547432622,20,48,1.8,1.0,1.0,15,2,0,409.0
24.77795663584903,47.249463881402285,20,35,1.5,1.0,1.2,3,0,1,587.0
21.42991402495764,18.27256208190539,26,29,1.2,1.0,1.0,21,1,1,282.0
21.095021907722668,26.39586227761042,26,57,2.0,1.0,1.0,15,3,1,515.0
8.594052512949101,39.06174467036487,4,20,1.5,1.0,1.0,11,3,1,221.0
8.576552825498059,36.010449072309115,15,46,1.0,1.1,1.0,13,3,1,175.0
9.354515531945284,43.86384735877203,32,58,1.0,1.0,1.2,11,5,0,286.0
8.662534434014312,49.8564131306499,24,18,2.0,1.1,1.4,20,5,1,278.0
30.42245631703773,24.20862479577903,17,17,1.2,1.3,1.4,15,6,0,967.0
23.331316569645843,10.001789590249032,7,45,1.0,1.1,1.4,15,2,0,578.0
25.815875099710887,6.368714636358559,5,11,1.2,1.1,1.2,21,3,0,618.0
9.090614302289772,37.709460776289724,7,16,1.2,1.1,1.4,11,5,0,400.0
7.238742323947099,44.330615208892205,7,41,2.0,1.0,1.6,1,6,0,422.0
9.72819235742025,14.932066367498841,7,54,1.0,1.0,1.4,22,5,0,268.0
4.965037035336122,12.130161673545768,5,8,1.2,1.0,1.4,23,4,0,214.0
7.027559501906986,7.799229118656094,33,6,1.8,1.0,1.2,13,5,1,177.0
4.398191290737312,42.02163147727429,5,39,1.0,1.1,1.4,10,3,0,271.0
25.177811111821118,19.012187295166296,22,48,1.0,1.3,1.4,8,1,0,928.0
23.452583940272184,23.076360174189944,25,7,1.8,1.5,1.2,21,3,0,727.0
7.430968168175339,27.623758622432554,30,8,1.2,1.0,1.2,6,6,0,220.0
18.089194944466477,42.77539553942979,30,42,1.2,1.5,1.0,11,6,1,417.0
2.756129341571185,34.28749497026682,30,16,1.2,1.0,1.0,16,6,0,137.0
5.527537413060647,32.67790834360151,32,23,0.8,1.3,1.6,8,4,0,290.0
12.00340813149518,12.905244498015982,20,14,1.8,1.0,1.4,5,3,1,302.0
3.359381924347203,28.093545126942338,28,5,1.0,1.0,1.2,11,0,0,125.0
6.55815010571935,37.192145773039485,22,21,1.0,1.0,1.2,19,4,1,165.0
4.538158841374578,48.79673973637213,6,20,1.0,1.3,1.4,9,2,0,376.0
7.857073759031215,14.06328391460085,3,13,1.0,1.0,1.2,8,3,0,243.0
9.565628224887185,5.429450888025199,34,57,1.5,1.0,1.2,11,5,0,316.0
14.682932611178893,8.388564511931138,28,13,1.5,1.3,1.0,0,1,0,446.0
10.03201412261578,21.913360933189065,18,59,1.8,1.3,1.0,1,3,0,441.0
4.530092653669946,41.92450914856942,10,13,1.0,1.0,1.2,18,1,0,200.0
10.452614201175994,5.3213936795710275,19,16,1.5,1.1,1.4,0,6,1,267.0
19.837865882257784,25.552876679862813,10,59,1.2,1.0,1.0,15,6,1,302.0
3.512763172511189,19.81537769036275,9,45,1.5,1.0,1.2,15,0,0,224.0
3.7786422019464982,7.361676954487741,27,19,1.5,1.0,1.4,17,2,0,229.0
12.279401142906526,25.260632900267776,10,6,1.0,1.0,1.4,17,5,1,242.0
12.464856995850006,16.46369183015235,34,15,1.0,1.0,1.2,22,4,0,254.0
5.2731698457297345,20.83481754561529,23,15,1.0,1.0,1.4,12,4,0,187.0
17.85700574601677,36.75268871529319,26,12,1.2,1.0,1.6,21,2,0,595.0
7.816360768704911,28.469794275993518,32,59,2.0,1.1,1.6,11,0,1,273.0
32.270950450290904,10.609134304676601,33,36,1.0,1.1,1.4,8,0,0,794.0
10.273335346429144,48.263654319063754,29,10,0.8,1.0,1.4,4,6,1,170.0
4.44432155000041,33.61598445693822,28,57,1.0,1.0,1.2,8,3,0,208.0
14.40266335436339,39.464079154813916,14,24,1.5,1.1,1.4,12,0,0,573.0
8.397511810033997,8.564591750376687,18,43,1.0,1.1,1.4,15,3,0,269.0
4.808496372624795,7.117627075700851,33,39,1.0,1.1,1.2,9,1,0,174.0
12.095759086292642,5.8751622665636525,14,12,1.0,1.0,1.2,15,2,0,249.0
34.28034814235404,13.495731249805,21,54,1.2,1.0,1.4,13,1,1,671.0
27.80952084351688,23.64837789733228,33,53,1.2,1.1,1.6,1,1,0,985.0
5.972854801372794,47.112176003127026,12,47,1.5,1.0,1.2,18,1,1,288.0
6.535287465058939,25.567684666959934,9,38,1.0,1.3,1.2,10,1,0,281.0
25.35921055425158,18.061479741763826,14,57,1.2,1.1,1.4,18,4,0,868.0
25.428913780871788,30.28708640838485,22,23,1.0,1.0,1.0,10,0,0,430.0
11.466812531954174,10.037056016065517,7,11,0.8,1.0,1.4,13,2,0,227.0
9.641001691208576,32.427765095224245,18,35,1.2,1.3,1.0,14,2,0,350.0
8.622487665947267,30.579437944872648,11,22,1.0,1.0,1.2,6,5,1,167.0
28.327708271564127,40.63968650325694,9,44,1.2,1.0,1.4,14,1,0,845.0
10.692361859017602,49.40094252276609,22,18,0.8,1.1,1.0,23,2,0,201.0
3.691121121698216,16.289306227224973,24,43,1.0,1.1,1.2,22,6,0,149.0
34.15579601976408,27.93454028616923,28,57,1.8,1.0,1.2,7,3,1,868.0
22.491057740402425,45.89894328435516,16,40,1.2,1.0,1.2,3,2,1,429.0
10.563017211046285,40.33354479902786,13,21,1.5,1.3,1.4,17,6,0,516.0
13.674705762729278,26.93328363953634,9,41,1.5,1.5,1.2,13,1,0,533.0
12.649455172548272,47.541724232665004,31,48,1.2,1.1,1.2,20,2,1,301.0
7.508597297433917,7.5756512082564225,12,13,1.5,1.5,1.2,17,0,1,225.0
11.347596767395192,46.894937887066284,31,24,1.2,1.0,1.0,3,1,0,300.0
12.579335256190333,7.272832657226295,11,49,1.0,1.0,1.4,1,4,0,335.0
10.579792598444328,29.628713485160795,6,32,1.0,1.0,1.0,20,6,1,175.0
3.5062977738266863,45.069842660048856,18,54,1.2,1.0,1.4,5,0,0,268.0
14.083878875221735,16.822442460258628,12,24,1.0,1.0,1.2,10,2,0,325.0
12.480616637309797,26.251182452532134,21,45,1.0,1.0,1.2,0,4,0,313.0
6.272639089808908,19.594799561163498,26,40,1.0,1.3,1.4,14,5,0,283.0
3.5218712135588763,47.846476268435815,33,57,1.0,1.1,1.6,11,0,1,198.0
13.636530629184973,42.06405176388909,19,31,0.8,1.1,1.6,23,5,0,393.0
7.160759721965684,36.905068009687085,11,12,0.8,1.0,1.2,17,3,1,142.0
25.93296440375577,31.443214397679892,15,36,1.0,1.0,1.2,4,0,0,580.0
2.4767285501360585,41.926630519586666,3,5,1.0,1.0,1.6,10,4,1,147.0
5.959978999253819,22.652016868559617,4,21,1.2,1.1,1.0,23,5,0,208.0
4.3144675693067684,25.139833479772786,15,13,1.0,1.0,1.4,20,3,0,188.0
17.816058977853523,37.850077448638764,26,24,1.8,1.0,1.4,18,5,1,543.0
10.462655072962404,21.09896434821714,11,49,1.5,1.0,1.6,21,2,0,445.0
11.335599990944427,7.875542392176822,9,36,1.2,1.1,1.6,0,1,0,456.0
4.906745900752885,8.345057399873216,18,6,1.5,1.3,1.0,16,5,0,195.0
31.7408225048588,10.191326058756674,21,36,1.0,1.1,1.4,7,2,0,832.0
5.13561894879404,44.13565955046482,9,49,0.8,1.0,1.0,22,1,0,133.0
32.801940703676166,26.250189159029194,8,13,1.8,1.0,1.0,15,1,1,669.0
12.354984782690291,37.07970662051314,20,34,1.0,1.0,1.2,10,4,0,298.0
34.865100308459276,22.6809201022202,21,24,1.8,1.0,1.0,18,6,0,1022.0
7.788968315034651,16.641992633703552,13,42,1.2,1.0,1.4,23,3,0,285.0
29.541135232307802,20.623647540299537,31,5,1.0,1.0,1.6,10,6,0,630.0
28.02295169763348,40.73820553927326,14,9,1.2,1.0,1.4,14,3,1,519.0
2.3522479025452854,33.13472562641472,31,39,1.2,1.0,1.2,7,0,1,127.0
8.579844216923174,47.193790098105595,28,40,0.8,1.0,1.4,13,2,0,250.0
10.106613944035876,35.586715035957525,12,5,1.0,1.1,1.6,0,4,0,354.0
9.609606737157778,30.658173428961227,15,18,1.5,1.5,1.4,9,5,0,459.0
9.942752855062892,32.458820404362555,14,13,1.2,1.3,1.4,6,2,0,436.0
8.744894742638937,47.40671477607866,33,34,1.0,1.0,1.6,17,5,0,421.0
18.25399487617132,40.46904184400177,23,28,1.0,1.0,1.2,11,6,0,401.0
3.5582497753378766,6.081855681489702,12,8,1.8,1.3,1.6,1,5,0,179.0
11.217786752861914,29.036286326106374,22,54,1.2,1.0,1.6,17,6,0,572.0
5.664112072054199,35.97522851959542,20,18,1.2,1.3,1.6,20,6,0,314.0
12.337420531993148,38.69143152976198,6,29,2.0,1.0,1.2,6,5,0,565.0
19.554994722064194,14.59139536912715,30,8,1.0,1.3,1.6,19,0,1,447.0
